time_min,time_hr,vol_base_geom_m3,mass_base_kg,mass_top_kg,cum_entrained_kg,cum_stripped_kg,cum_base_loss_kg,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,max_flow_speed_mps,mean_exposure_min,max_exposure_min,max_Pdeath
0.0,0.0,139726225408.0,237130170368.0,1450057600.0,1450057988.125,0.0,145004880.11249825,1000000.0,420.0,465.5,462.8125,134830.34375,134599.546875,134559.96875,19.932781219482422,0.04472094401717186,3.0,1.0
5.0,0.08333333333333333,139212914688.0,234228088832.0,2863332096.0,2863335874.125,0.0,286331773.3490504,1000000.0,420.0,959.9375,955.5625,150566.578125,150161.984375,150024.140625,24.548002243041992,0.20729796588420868,9.0,1.0
10.0,0.16666666666666666,138952753152.0,232224473088.0,4262454528.0,4262469681.375,0.0,426244267.22218996,1000000.0,420.0,1329.5625,1323.8125,171452.90625,170270.78125,170037.453125,30.365062713623047,0.4461207091808319,15.0,1.0
15.0,0.25,138793369600.0,230517506048.0,5650585088.0,5650609936.875,0.0,565057414.3014604,1000000.0,420.0,1469.1875,1462.875,185731.125,183892.984375,183561.578125,29.85441017150879,0.587138831615448,18.0,1.0
20.0,0.3333333333333333,138691510272.0,228933517312.0,7028889600.0,7028928581.0,0.0,702888405.4466338,1000000.0,1000000.0,1698.1875,1690.125,218771.484375,215234.71875,214395.75,30.883798599243164,0.9027875661849976,24.0,1.0
25.0,0.4166666666666667,138622648320.0,227400269824.0,8397860352.0,8397919314.75,0.0,839786611.4745077,1000000.0,1000000.0,1874.75,1866.625,254932.203125,251555.484375,250404.5625,31.018997192382812,1.2543996572494507,30.0,1.0
30.0,0.5,138573168640.0,225886584832.0,9757691904.0,9757778684.375,0.0,975771687.1922504,1000000.0,1000000.0,1954.75,1946.5,273186.6875,268842.34375,267846.09375,31.07235336303711,1.4420709609985352,33.0,1.0
35.0,0.5833333333333334,138535010304.0,224385810432.0,11108481024.0,11108594166.75,0.0,1110852379.6936798,1000000.0,1000000.0,2089.25,2078.625,301343.84375,296474.4375,295690.5,31.119787216186523,1.8369563817977905,39.0,1.0
40.0,0.6666666666666666,138504011776.0,222896947200.0,12450316288.0,12450440461.75,0.0,1245036159.3030424,1000000.0,1000000.0,2204.1875,2192.25,327877.9375,321597.8125,320815.1875,31.167423248291016,2.254746675491333,45.0,1.0
45.0,0.75,138478403584.0,221420060672.0,13783269376.0,13783390017.5,0.0,1378330270.266925,1000000.0,1000000.0,2256.5,2244.1875,339751.09375,333423.34375,332760.78125,31.20501708984375,2.4713704586029053,48.0,1.0
50.0,0.8333333333333334,138456940544.0,219956281344.0,15107397632.0,15107516358.0,0.0,1510742065.7234814,1000000.0,1000000.0,2351.875,2339.3125,363660.46875,356745.40625,355819.4375,31.234663009643555,2.91850209236145,54.0,1.0
