time_hr,total_vol_m3,max_H_m,mean_H_m,p95_H_m,max_ppm,mean_ppm,p95_ppm,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,plume_area_km2,plume_centroid_x,plume_centroid_y,front_danger_m,front_lethal_m,cum_injected_m3,cum_lost_m3,wind_u_mps,wind_v_mps,K_m2ps,loss_rate_1ps,H_mix_m,dt_internal_s,dt_report_h
0.0,11028471.0,5.25236701965332,9.99599724309519e-05,0.0,105047.3359375,1.9991992712020874,0.0,1.5625,0.125,905.9708862304688,77.21511840820312,33.75,734886.4915413981,9777393.745679108,790.5694150420949,250.0,11111111.111111112,26499.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
1.0,336985120.0,24.548809051513672,0.003532294649630785,0.0,490976.1875,70.6458969116211,0.0,28.0,22.6875,31722.25390625,27610.73046875,113.5625,731332.5718503161,9777388.945297586,7766.1122835045335,7516.648189186454,344444444.4444443,13059957.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
2.0,635685696.0,24.548809051513672,0.007826743647456169,0.0,490976.1875,156.53485107421875,0.0,53.3125,43.875,31831.35546875,27933.79296875,189.8125,727886.1322846918,9777384.058480224,15008.331019803634,14752.11849193193,677777777.7777781,48603413.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
3.0,911856640.0,24.548809051513672,0.013406858779489994,0.0,490976.1875,268.13720703125,0.0,78.625,63.6875,38837.91796875,33706.62109375,268.4375,724531.9374686389,9777385.758112794,22251.40445005663,21755.746367339365,1011111111.1111131,104848277.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
4.0,1163093888.0,24.548809051513672,0.020815135911107063,0.0,490976.1875,416.3027038574219,0.0,103.3125,83.0,46975.328125,40943.4921875,350.9375,721317.1675455424,9777386.771347998,29259.61380469674,28759.780944923765,1344444444.444448,180042645.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
5.0,1395985024.0,24.548809051513672,0.031105484813451767,0.0,490976.1875,622.1096801757812,0.0,128.375,102.5625,50101.0234375,43342.83984375,435.5625,718177.4550805539,9777382.871592829,36503.42449688796,36003.47205478938,1677777777.777783,272681749.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
6.0,1617208192.0,24.548809051513672,0.0459720678627491,1.6255062186167878e-43,490976.1875,919.4413452148438,2.802596928649634e-39,155.0625,122.0625,55290.5859375,47029.5859375,524.3125,715042.1571299498,9777376.586079294,43752.857049568775,43002.90687848904,2011111111.1111178,381593749.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
7.0,1501279616.0,21.058135986328125,0.0564352385699749,3.0925298408657703e-36,421162.71875,1128.7049560546875,6.185059834408053e-32,157.125,119.75,28907.8671875,22903.314453125,552.0625,707681.6528192615,9777365.613163382,51000.612741417135,50250.621886699075,2011111111.1111178,493815061.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
8.0,2047298.625,1.9876041412353516,0.0001072319209924899,0.0,39752.08203125,2.1446385383605957,0.0,0.0,0.0,0.0,0.0,33.125,720962.8143607954,9775835.538303096,0.0,0.0,2011111111.1111178,550247488.875,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
9.0,9.878709749749172e-26,2.336939428262417e-31,7.805323384954372e-36,0.0,4.673878759476021e-27,1.5610648439018886e-31,0.0,0.0,0.0,0.0,0.0,0.0,722527.2122197499,9768465.249920715,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
12.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
13.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
14.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
15.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
16.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
17.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
18.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2011111111.1111178,550249950.3083258,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
