time_hr,total_vol_m3,max_H_m,mean_H_m,p95_H_m,max_ppm,mean_ppm,p95_ppm,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,plume_area_km2,plume_centroid_x,plume_centroid_y,front_danger_m,front_lethal_m,cum_injected_m3,cum_lost_m3,wind_u_mps,wind_v_mps,K_m2ps,loss_rate_1ps,H_mix_m,dt_internal_s,dt_report_h
0.0,10239076.0,5.254929542541504,9.28050430957228e-05,0.0,105098.59375,1.8561009168624878,0.0,1.3125,0.125,536.3705444335938,14.370929718017578,33.875,734933.0355475106,9777400.303988606,790.5694150420949,250.0,11111111.111111112,24604.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
1.0,422763936.0,35.24410629272461,0.004431432578712702,0.0,704882.125,88.62865447998047,0.0,31.125,25.75,37409.6328125,33762.99609375,126.4375,731618.5041661413,9777348.170378167,7786.205751198719,7288.689868556626,344444444.4444443,14633120.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
2.0,774906816.0,27.026397705078125,0.00954087357968092,0.0,540527.9375,190.81748962402344,0.0,60.1875,50.625,38350.89453125,35073.046875,225.875,728469.7582887285,9777329.833826516,14783.85944197252,14285.044627161653,677777777.7777781,58536256.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
3.0,1052916032.0,27.026397705078125,0.015480829402804375,0.0,540527.9375,309.6166076660156,0.0,86.6875,70.1875,45505.8984375,40978.28125,326.0625,725673.5563879657,9777366.471229482,21505.813167606568,21001.48804251737,1011111111.1111131,125399936.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
4.0,1226292352.0,27.026397705078125,0.02194615826010704,0.0,540527.9375,438.92315673828125,0.0,106.1875,85.0625,53635.4453125,47372.62109375,436.0,723691.3155512307,9777401.752654752,26768.68506296116,26010.815058356013,1344444444.444448,208244288.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
5.0,1365942912.0,27.026397705078125,0.030436083674430847,0.0,540527.9375,608.7217407226562,0.0,128.1875,94.75,56631.98046875,49220.1953125,569.5,721894.9537781781,9777394.580112757,32508.652694321245,31009.071253425183,1677777777.777783,302171584.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
6.0,1473064704.0,27.026397705078125,0.04187452793121338,2.4545025872411918e-32,540527.9375,837.490478515625,4.909005242661056e-28,145.0625,98.5625,58960.44140625,49712.12109375,716.3125,720260.4441722966,9777365.259240847,38279.40046552454,35022.31431530475,2011111111.1111178,404569152.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
7.0,1219609600.0,20.30302619934082,0.045846860855817795,1.9637092819991753e-24,406060.53125,916.9371948242188,3.9274186517196833e-20,144.6875,77.75,30172.69921875,17561.4296875,788.375,713227.1160920324,9777297.134124745,45500.68680800324,45000.69443908616,2011111111.1111178,502111808.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
8.0,25417272.0,7.236227035522461,0.0013312874361872673,4.88981641775742e-38,144724.546875,26.625749588012695,9.779633617551487e-34,3.4375,1.25,171.82986450195312,44.888309478759766,258.25,716975.120059606,9775539.261289341,48343.174285518326,48343.174285518326,2011111111.1111178,551385770.0,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
9.0,1.3100721836090088,3.3165048307637335e-07,1.0351085266702142e-10,0.0,0.006633009761571884,2.070216851279838e-06,0.0,0.0,0.0,0.0,0.0,0.0,690383.6245507915,9760925.167814802,0.0,0.0,2011111111.1111178,551448682.9593198,-2.0,-3.6739403974420594e-16,8.0,2e-05,50.0,120.0,1.0
