time_min,time_hr,vol_base_geom_m3,mass_base_kg,mass_top_kg,cum_entrained_kg,cum_stripped_kg,cum_base_loss_kg,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,max_flow_speed_mps,mean_exposure_min,max_exposure_min,max_Pdeath
0.0,0.0,299999985664.0,551989739520.0,9934809.0,9936001.0,1192.0,331193.9368227317,1000000.0,420.0,19.9375,19.9375,5137.19189453125,5137.19189453125,5137.1923828125,141.89361572265625,0.0019082371145486832,3.0,1.0
1.0,0.016666666666666666,300000542720.0,549941280768.0,1969446016.0,1993427692.0,23981662.0,66446371.80839978,1000000.0,420.0,19.9375,19.9375,5137.19189453125,5137.19189453125,5137.1923828125,39.7957649230957,0.0019082371145486832,3.0,1.0
2.0,0.03333333333333333,300000968704.0,547900129280.0,3875215872.0,3969558469.0,94342750.0,132316190.0979187,1000000.0,420.0,19.9375,19.9375,5137.19189453125,5137.19189453125,5137.1923828125,29.008028030395508,0.0019082371145486832,3.0,1.0
3.0,0.05,300001263616.0,545866448896.0,5728545280.0,5938354495.0,209819742.0,197941521.08804983,1000000.0,420.0,614.5625,612.25,144391.375,144320.21875,144317.8125,27.838472366333008,0.06081832945346832,6.0,1.0
4.0,0.06666666666666667,300001558528.0,543840141312.0,7530704384.0,7899842270.0,369154142.0,263323247.87853473,1000000.0,420.0,614.5625,612.25,144391.375,144320.21875,144317.8125,25.819412231445312,0.06081832945346832,6.0,1.0
5.0,0.08333333333333333,300001755136.0,541821239296.0,9282932736.0,9854048707.0,571126366.0,328462268.12017506,1000000.0,420.0,614.5625,612.25,144391.375,144320.21875,144317.8125,25.002676010131836,0.06081832945346832,6.0,1.0
6.0,0.1,300001951744.0,539810004992.0,10986440704.0,11801000838.0,814582366.0,393359482.8105014,1000000.0,420.0,988.1875,984.125,155858.21875,155669.53125,155560.265625,25.80423355102539,0.1555183380842209,9.0,1.0
7.0,0.11666666666666667,300002148352.0,537806077952.0,12642408448.0,13740725666.0,1098362462.0,458015791.54548645,1000000.0,420.0,988.1875,984.125,155858.21875,155669.53125,155560.265625,26.640148162841797,0.1555183380842209,9.0,1.0
8.0,0.13333333333333333,300002279424.0,535809425408.0,14251984896.0,15673249320.0,1421289054.0,522432065.6578024,1000000.0,420.0,988.1875,984.125,155858.21875,155669.53125,155560.265625,26.354684829711914,0.1555183380842209,9.0,1.0
9.0,0.15,300002476032.0,533820178432.0,15816306688.0,17598598582.0,1782322782.0,586609197.719517,1000000.0,420.0,1291.5,1287.0625,179571.953125,178687.390625,178540.0625,29.860858917236328,0.27939820289611816,12.0,1.0
10.0,0.16666666666666666,300002574336.0,531838500864.0,17336471552.0,19516799868.0,2180342366.0,650548067.8291675,1000000.0,420.0,1291.5,1287.0625,179571.953125,178687.390625,178540.0625,29.562524795532227,0.27939820289611816,12.0,1.0
11.0,0.18333333333333332,300002705408.0,529863999488.0,18813552640.0,21427879964.0,2614344286.0,714249569.7443678,1000000.0,420.0,1291.5,1287.0625,179571.953125,178687.390625,178540.0625,29.99933624267578,0.27939820289611816,12.0,1.0
12.0,0.2,300002836480.0,527897001984.0,20248598528.0,23331865058.0,3083250270.0,777714576.0966837,1000000.0,420.0,1530.875,1526.3125,213043.234375,211693.1875,211397.765625,32.05168914794922,0.4262726604938507,15.0,1.0
13.0,0.21666666666666667,300002902016.0,525937115136.0,21642631168.0,25228782004.0,3586155102.0,840943981.5203707,1000000.0,420.0,1530.875,1526.3125,213043.234375,211693.1875,211397.765625,32.69626998901367,0.4262726604938507,15.0,1.0
14.0,0.23333333333333334,300003033088.0,523984371712.0,22996645888.0,27118656101.0,4122016350.0,903938630.0392766,1000000.0,420.0,1530.875,1526.3125,213043.234375,211693.1875,211397.765625,32.924278259277344,0.4262726604938507,15.0,1.0
15.0,0.25,300003098624.0,522039296000.0,24311625728.0,29001513879.0,4689902174.0,966699405.0031502,1000000.0,1000000.0,1728.9375,1723.5625,254080.96875,252393.71875,251940.28125,32.77980422973633,0.5920440554618835,18.0,1.0
