time_min,time_hr,vol_base_geom_m3,mass_base_kg,mass_top_kg,cum_entrained_kg,cum_stripped_kg,cum_base_loss_kg,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,max_flow_speed_mps,mean_exposure_min,max_exposure_min,max_Pdeath
0.0,0.0,71798063104.0,124724215808.0,759820096.0,759820251.5625,0.0,75981544.09694046,1000000.0,420.0,368.875,367.375,125179.7578125,125031.0234375,124999.5,21.935441970825195,0.035484835505485535,3.0,1.0
5.0,0.08333333333333333,71564566528.0,123351015424.0,1503716608.0,1503718297.6875,0.0,150370877.62499976,1000000.0,420.0,754.875,751.0,141616.734375,141300.375,141143.28125,27.012916564941406,0.1635221689939499,9.0,1.0
10.0,0.16666666666666666,71439351808.0,122353614848.0,2240735232.0,2240738215.1875,0.0,224072402.45679352,1000000.0,420.0,1058.8125,1051.6875,142141.703125,140414.859375,140259.53125,28.63571548461914,0.3529760241508484,15.0,1.0
15.0,0.25,71359635456.0,121477177344.0,2972192256.0,2972198280.8125,0.0,297217945.65757763,1000000.0,420.0,1188.1875,1180.9375,143423.21875,140651.0625,140627.71875,30.309329986572266,0.46716517210006714,18.0,1.0
20.0,0.3333333333333333,71305232384.0,120648007680.0,3698545920.0,3698560863.25,0.0,369853743.7091373,1000000.0,420.0,1397.5625,1388.0,152609.859375,148306.109375,148652.09375,30.957441329956055,0.7265956997871399,24.0,1.0
25.0,0.4166666666666667,71267082240.0,119841898496.0,4420001280.0,4420024427.375,0.0,441999643.0792665,1000000.0,24312.623046875,1558.375,1547.5625,162391.03125,156518.34375,156661.703125,30.864944458007812,1.0189447402954102,30.0,1.0
30.0,0.5,71240155136.0,119048544256.0,5136666624.0,5136692982.0,0.0,513666044.6504297,1000000.0,462329.4375,1624.4375,1613.5,168240.46875,161669.109375,161989.21875,30.842390060424805,1.1750015020370483,33.0,1.0
35.0,0.5833333333333334,71220756480.0,118263988224.0,5848601600.0,5848629681.625,0.0,584859263.5030223,1000000.0,1000000.0,1741.375,1728.1875,182240.6875,173906.109375,174169.234375,30.858558654785156,1.504462480545044,39.0,1.0
40.0,0.6666666666666666,71206346752.0,117485535232.0,6555846144.0,6555877774.0625,0.0,655583624.8286469,1000000.0,1000000.0,1840.9375,1827.875,194324.9375,186360.59375,186492.8125,30.883529663085938,1.8537776470184326,45.0,1.0
45.0,0.75,71194959872.0,116712603648.0,7258432000.0,7258471737.8125,0.0,725842576.091148,1000000.0,1000000.0,1887.1875,1872.5,201723.15625,192820.4375,192784.234375,30.896148681640625,2.035155773162842,48.0,1.0
50.0,0.8333333333333334,71185408000.0,115944701952.0,7956389376.0,7956443461.75,0.0,795639306.2749875,1000000.0,1000000.0,1966.0,1950.8125,213329.25,203061.734375,204129.46875,30.896648406982422,2.4095592498779297,54.0,1.0
55.0,0.9166666666666666,71176970240.0,115182403584.0,8649748480.0,8649824333.1875,0.0,864976954.3889536,1000000.0,1000000.0,2039.5,2022.5625,224537.609375,214209.5625,214761.875,30.887590408325195,2.798283100128174,60.0,1.0
60.0,1.0,71169400832.0,114425593856.0,9338543104.0,9338648051.3125,0.0,933858890.00483,1000000.0,1000000.0,2073.6875,2056.8125,229555.984375,219090.15625,219717.53125,30.864253997802734,2.9977269172668457,63.0,1.0
65.0,1.0833333333333333,71162765312.0,113673773056.0,10022807552.0,10022945819.375,0.0,1002288233.5049151,1000000.0,1000000.0,2136.0625,2118.1875,239854.796875,227284.625,228559.265625,30.840076446533203,3.405569076538086,69.0,1.0
70.0,1.1666666666666667,71156817920.0,112927375360.0,10702575616.0,10702748857.8125,0.0,1070268106.7092854,1000000.0,1000000.0,2193.3125,2173.625,248693.703125,236112.5625,237826.203125,30.81403350830078,3.8247592449188232,75.0,1.0
75.0,1.25,71151116288.0,112185524224.0,11377883136.0,11378087635.0,0.0,1137801556.7888942,1000000.0,1000000.0,2219.5,2200.625,252928.03125,240065.671875,241986.921875,30.758214950561523,4.0383501052856445,78.0,1.0
80.0,1.3333333333333333,71145816064.0,111447990272.0,12048761856.0,12048988102.3125,0.0,1204891178.7065206,1000000.0,1000000.0,2270.3125,2251.375,263546.0,248885.515625,250714.5,30.705991744995117,4.47291374206543,84.0,1.0
85.0,1.4166666666666667,71140827136.0,110715142144.0,12715242496.0,12715477380.3125,0.0,1271539684.2463639,1000000.0,1000000.0,2311.3125,2292.125,280861.0625,265046.5625,267459.84375,30.650920867919922,4.915852069854736,90.0,1.0
90.0,1.5,71136395264.0,109986701312.0,13377344512.0,13377582838.0,0.0,1337749810.6804295,1000000.0,1000000.0,2329.125,2310.6875,292851.65625,276558.53125,278033.40625,30.609439849853516,5.140060901641846,93.0,1.0
95.0,1.5833333333333333,71132250112.0,109262938112.0,14035088384.0,14035331509.0,0.0,1403524261.1393902,1000000.0,1000000.0,2361.375,2341.0,314864.65625,299239.90625,302009.34375,30.530792236328125,5.593079090118408,99.0,1.0
100.0,1.6666666666666667,71128440832.0,108544147456.0,14688502784.0,14688752342.0625,0.0,1468865930.622423,1000000.0,1000000.0,2392.875,2371.4375,335865.1875,319383.5,321192.03125,30.472103118896484,6.05219841003418,105.0,1.0
105.0,1.75,71124869120.0,107831099392.0,15337621504.0,15337877084.8125,0.0,1533777993.795296,1000000.0,1000000.0,2406.8125,2386.3125,345581.3125,328419.875,331368.375,30.38552474975586,6.283902645111084,108.0,1.0
110.0,1.8333333333333333,71121436672.0,107123449856.0,15982475264.0,15982740576.8125,0.0,1598263934.5115082,1000000.0,1000000.0,2433.125,2411.6875,368115.0,346141.46875,348937.25,30.288249969482422,6.750942230224609,114.0,1.0
115.0,1.9166666666666667,71118135296.0,106420125696.0,16623089664.0,16623371332.5,0.0,1662326604.3824499,1000000.0,1000000.0,2456.1875,2433.875,388584.1875,364663.46875,368917.90625,30.21153450012207,7.2225518226623535,120.0,1.0
