time_min,time_hr,vol_base_geom_m3,mass_base_kg,mass_top_kg,cum_entrained_kg,cum_stripped_kg,cum_base_loss_kg,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,max_flow_speed_mps,mean_exposure_min,max_exposure_min,max_Pdeath
0.0,0.0,204775047168.0,341844656128.0,2095618432.0,2095618982.875,0.0,209560571.56013083,1000000.0,420.0,532.0,529.4375,140334.984375,140181.609375,140116.578125,17.234663009643555,0.05104982852935791,3.0,1.0
5.0,0.08333333333333333,203921162240.0,337353834496.0,4131923456.0,4131928870.375,0.0,413190270.18372804,1000000.0,420.0,1102.4375,1097.9375,160198.96875,159929.53125,159738.640625,25.766826629638672,0.23778189718723297,9.0,1.0
10.0,0.16666666666666666,203502354432.0,334320992256.0,6146565632.0,6146581714.5,0.0,614654278.7491815,1000000.0,420.0,1499.3125,1493.5,202154.90625,201024.953125,200483.09375,31.711565017700195,0.5082849860191345,15.0,1.0
15.0,0.25,203255873536.0,331789697024.0,8144732672.0,8144767195.625,0.0,814471561.2261508,1000000.0,1000000.0,1649.3125,1642.3125,225372.46875,222976.28125,222477.6875,33.589874267578125,0.6665610074996948,18.0,1.0
20.0,0.3333333333333333,203097341952.0,329450094592.0,10128378880.0,10128440823.5,0.0,1012837668.1139935,1000000.0,1000000.0,1889.4375,1881.75,281539.1875,278194.25,277297.75,33.667640686035156,1.0181312561035156,24.0,1.0
25.0,0.4166666666666667,202986127360.0,327174750208.0,12098217984.0,12098299591.5,0.0,1209822297.1295514,1000000.0,1000000.0,2093.4375,2083.6875,336752.9375,331246.3125,330013.78125,33.764137268066406,1.4107674360275269,30.0,1.0
30.0,0.5,202902437888.0,324936957952.0,14054536192.0,14054623289.25,0.0,1405453427.6325533,1000000.0,1000000.0,2177.0,2166.25,361223.53125,354320.75,353720.3125,33.84550476074219,1.6197164058685303,33.0,1.0
35.0,0.5833333333333334,202836918272.0,322731278336.0,15997531136.0,15997619334.375,0.0,1599751801.7123356,1000000.0,1000000.0,2327.875,2316.4375,403910.96875,397292.625,395774.875,33.914669036865234,2.0596039295196533,39.0,1.0
40.0,0.6666666666666666,202784522240.0,320553811968.0,17927378944.0,17927468655.625,0.0,1792735511.4320207,1000000.0,1000000.0,2455.0625,2442.4375,444626.53125,436800.625,436167.4375,33.96670150756836,2.525171995162964,45.0,1.0
45.0,0.75,202741399552.0,318398791680.0,19844222976.0,19844321982.625,0.0,1984419630.3044477,1000000.0,1000000.0,2509.375,2496.0,467604.375,458471.25,457301.9375,34.00341796875,2.766201972961426,48.0,1.0
50.0,0.8333333333333334,202704601088.0,316266807296.0,21748205568.0,21748313499.125,0.0,2174817575.9053764,1000000.0,1000000.0,2607.6875,2596.125,525949.875,516679.5,515165.5625,34.0306396484375,3.262385606765747,54.0,1.0
55.0,0.9166666666666666,202672291840.0,314154221568.0,23639449600.0,23639573865.0,0.0,2363942414.763242,1000000.0,1000000.0,2682.1875,2669.25,612919.125,601327.5,599513.25,34.05254364013672,3.773984670639038,60.0,1.0
60.0,1.0,202643636224.0,312059723776.0,25518059520.0,25518212556.125,0.0,2551805093.3848295,1000000.0,1000000.0,2711.5625,2697.375,660921.875,643206.625,640798.375,34.07019805908203,4.034306526184082,63.0,1.0
65.0,1.0833333333333333,202617585664.0,309984362496.0,27384152064.0,27384341049.0,0.0,2738416760.16166,1000000.0,1000000.0,2762.8125,2749.0,763297.25,746455.875,742055.125,34.08470153808594,4.562636852264404,69.0,1.0
70.0,1.1666666666666667,202594205696.0,307928367104.0,29237837824.0,29238076710.0,0.0,2923789152.0113387,1000000.0,1000000.0,2803.6875,2788.8125,879232.3125,855229.3125,851393.625,34.097084045410156,5.099210262298584,75.0,1.0
75.0,1.25,202572693504.0,305890164736.0,31079235584.0,31079529266.625,0.0,3107933241.571359,1000000.0,1000000.0,2821.125,2806.75,932349.875,911609.0,908792.125,33.317134857177734,5.370036602020264,78.0,1.0
80.0,1.3333333333333333,202553032704.0,303869689856.0,32908488704.0,32908806843.875,0.0,3290859840.063605,1000000.0,1000000.0,2853.75,2838.9375,1025283.1875,1005645.4375,1003671.9375,33.33034896850586,5.916563987731934,84.0,1.0
85.0,1.4166666666666667,202534977536.0,301864615936.0,34725687296.0,34726008255.5,0.0,3472578830.42121,1000000.0,1000000.0,2884.4375,2869.8125,1107520.0,1087101.5,1086073.75,32.991455078125,6.469061374664307,90.0,1.0
90.0,1.5,202518331392.0,299874615296.0,36530917376.0,36531224436.0,0.0,3653099305.0240808,1000000.0,1000000.0,2901.125,2884.9375,1147414.375,1123507.5,1123119.0,31.171525955200195,6.747580528259277,93.0,1.0
95.0,1.5833333333333333,202502717440.0,297899982848.0,38324252672.0,38324546387.25,0.0,3832430364.2356606,1000000.0,1000000.0,2929.875,2914.0,1208300.875,1184335.25,1181483.75,31.18733787536621,7.3087158203125,99.0,1.0
100.0,1.6666666666666667,202488020992.0,295940784128.0,40105795584.0,40106067212.125,0.0,4010581317.952606,1000000.0,1000000.0,2959.0,2942.75,1257607.25,1238017.375,1237437.25,31.165803909301758,7.875605583190918,105.0,1.0
105.0,1.75,202474094592.0,293995675648.0,41875619840.0,41875875531.25,0.0,4187561028.8190665,1000000.0,1000000.0,2971.9375,2955.75,1277789.125,1256907.5,1255889.125,31.10281753540039,8.161105155944824,108.0,1.0
110.0,1.8333333333333333,202460905472.0,292064460800.0,43633803264.0,43634054973.75,0.0,4363377858.770258,1000000.0,1000000.0,2998.5625,2980.5625,1319473.0,1296013.25,1294819.75,31.033475875854492,8.735807418823242,114.0,1.0
115.0,1.9166666666666667,202448338944.0,290147401728.0,45380427776.0,45380689201.25,0.0,4538040175.104463,1000000.0,1000000.0,3021.125,3003.375,1354910.625,1329378.75,1330192.5,30.959796905517578,9.315068244934082,120.0,1.0
120.0,2.0,202436263936.0,288244170752.0,47115595776.0,47115863211.125,0.0,4711556476.6743145,1000000.0,1000000.0,3032.5,3014.125,1374752.75,1344989.25,1346555.0,30.882171630859375,9.60637092590332,123.0,1.0
125.0,2.0833333333333335,202424713216.0,286352801792.0,48839364608.0,48839654090.375,0.0,4883934472.692008,1000000.0,1000000.0,3054.5,3034.0625,1406220.125,1376964.75,1378105.375,30.8011417388916,10.192086219787598,129.0,1.0
130.0,2.1666666666666665,202413572096.0,284472442880.0,50551816192.0,50552130179.0,0.0,5055180996.891004,1000000.0,1000000.0,3073.125,3052.9375,1432362.0,1405479.25,1406323.375,30.71752166748047,10.781527519226074,135.0,1.0
135.0,2.25,202402856960.0,282603388928.0,52253020160.0,52253357411.875,0.0,5225302642.235402,1000000.0,1000000.0,3081.875,3061.625,1442652.25,1418120.0,1418865.375,30.631065368652344,11.077484130859375,138.0,1.0
140.0,2.3333333333333335,202392371200.0,280746393600.0,53943050240.0,53943406529.125,0.0,5394306483.541327,1000000.0,1000000.0,3096.3125,3077.125,1463489.625,1436800.5,1440519.25,30.543886184692383,11.671573638916016,144.0,1.0
145.0,2.4166666666666665,202382147584.0,278900801536.0,55621967872.0,55622348340.75,0.0,5562199601.124038,1000000.0,1000000.0,3111.75,3091.1875,1482314.0,1454099.625,1457476.75,30.455612182617188,12.268774032592773,150.0,1.0
150.0,2.5,202372071424.0,277066514432.0,57289830400.0,57290249715.75,0.0,5728988681.710576,1000000.0,1000000.0,3118.4375,3098.9375,1490064.125,1463736.25,1466176.75,30.366086959838867,12.568450927734375,153.0,1.0
155.0,2.5833333333333335,202361946112.0,275243499520.0,58946736128.0,58947179422.875,0.0,5894680603.0032625,1000000.0,1000000.0,3134.5,3114.0625,1512103.0,1481990.0,1484548.5,30.275680541992188,13.170228004455566,159.0,1.0
160.0,2.6666666666666665,202351820800.0,273432068096.0,60592726016.0,60593205908.0,0.0,6059282208.950621,1000000.0,1000000.0,3149.5,3127.0625,1523038.5,1497056.625,1501498.0,30.184873580932617,13.774888038635254,165.0,1.0
165.0,2.75,202341777408.0,271632252928.0,62227890176.0,62228398497.625,0.0,6222800431.869838,1000000.0,1000000.0,3156.1875,3133.875,1532234.75,1502964.25,1506981.0,30.094688415527344,14.078309059143066,168.0,1.0
170.0,2.8333333333333335,202331815936.0,269844660224.0,63852277760.0,63852828284.875,0.0,6385242381.671524,1000000.0,1000000.0,3170.3125,3147.5,1550301.75,1523005.0,1526680.25,30.00459098815918,14.687270164489746,174.0,1.0
175.0,2.9166666666666665,202321936384.0,268070223872.0,65465970688.0,65466571662.25,0.0,6546615697.045187,1000000.0,1000000.0,3183.5,3159.875,1564340.25,1538482.0,1543011.5,29.914831161499023,15.29854679107666,180.0,1.0
180.0,3.0,202312253440.0,266308468736.0,67069038592.0,67069706904.625,0.0,6706928205.613512,1000000.0,1000000.0,3188.5,3165.9375,1567995.0,1541938.0,1548881.125,29.826282501220703,15.605049133300781,183.0,1.0
185.0,3.0833333333333335,202302783488.0,264558460928.0,68661563392.0,68662307181.125,0.0,6866187224.201158,1000000.0,1000000.0,3201.375,3176.75,1580128.25,1550953.625,1557253.0,29.738130569458008,16.219932556152344,189.0,1.0
190.0,3.1666666666666665,202293624832.0,262820003840.0,70243590144.0,70244442067.0,0.0,7024399711.051573,1000000.0,1000000.0,3213.1875,3187.75,1590212.625,1556818.5,1565977.5,29.64984893798828,16.837202072143555,195.0,1.0
195.0,3.25,202284875776.0,261092851712.0,71815233536.0,71816180241.875,0.0,7181572532.83846,1000000.0,1000000.0,3218.375,3193.5,1591997.5,1561364.5,1568922.25,29.56181526184082,17.146839141845703,198.0,1.0
200.0,3.3333333333333335,202276569088.0,259376922624.0,73376538624.0,73377589373.5,0.0,7337712456.333005,1000000.0,1000000.0,3230.9375,3205.3125,1601048.5,1568669.0,1576868.5,29.474451065063477,17.767948150634766,204.0,1.0
205.0,3.4166666666666665,202268557312.0,257671872512.0,74927579136.0,74928735632.75,0.0,7492826099.381982,1000000.0,1000000.0,3243.875,3218.3125,1607583.375,1573475.875,1584486.75,29.387195587158203,18.39150619506836,210.0,1.0
210.0,3.5,202260709376.0,255977734144.0,76468428800.0,76469684347.75,0.0,7646919994.171697,1000000.0,1000000.0,3250.1875,3224.3125,1611139.75,1576667.5,1585773.0,29.3001651763916,18.704181671142578,213.0,1.0
215.0,3.5833333333333335,202252910592.0,254294392832.0,77999136768.0,78000500466.5,0.0,7800000636.426145,1000000.0,1000000.0,3262.0625,3234.625,1619239.75,1581663.75,1589425.25,29.212764739990234,19.33113670349121,219.0,1.0
220.0,3.6666666666666665,202245177344.0,252621996032.0,79519768576.0,79521249186.375,0.0,7952074544.962447,1000000.0,1000000.0,3273.5,3245.5,1620695.0,1586485.75,1595990.75,29.126359939575195,19.960220336914062,225.0,1.0
225.0,3.75,202237460480.0,250960773120.0,81030389760.0,81031996828.625,0.0,8103148351.573014,1000000.0,1000000.0,3279.0625,3250.5,1623993.75,1589637.25,1598933.25,29.039318084716797,20.275503158569336,228.0,1.0
230.0,3.8333333333333335,202229776384.0,249311264768.0,82531090432.0,82532812141.625,0.0,8253228932.347079,1000000.0,1000000.0,3290.125,3263.0,1630175.375,1598330.75,1606056.0,28.95236587524414,20.90789031982422,234.0,1.0
235.0,3.9166666666666665,202222157824.0,247673241600.0,84021919744.0,84023765046.625,0.0,8402323278.6889,1000000.0,1000000.0,3301.0,3273.125,1638093.25,1603721.75,1612801.5,28.866191864013672,21.542573928833008,240.0,1.0
240.0,4.0,202214555648.0,246046228480.0,85502943232.0,85504923064.25,0.0,8550438142.846742,1000000.0,1000000.0,3306.375,3277.875,1641485.5,1606693.75,1616034.875,28.779874801635742,21.860734939575195,243.0,1.0
245.0,4.083333333333333,202207068160.0,244429881344.0,86974218240.0,86976351044.875,0.0,8697580008.811865,1000000.0,1000000.0,3315.8125,3288.8125,1646912.25,1613358.75,1623068.5,28.69439125061035,22.49858856201172,249.0,1.0
250.0,4.166666666666667,202199678976.0,242823970816.0,88435818496.0,88438112276.375,0.0,8843755205.978878,1000000.0,1000000.0,3327.4375,3298.9375,1656094.5,1618728.625,1628813.75,28.608415603637695,23.13852882385254,255.0,1.0
255.0,4.25,202192404480.0,241228464128.0,89887793152.0,89890269305.125,0.0,8988969988.856323,1000000.0,1000000.0,3333.375,3303.6875,1659603.0,1620608.125,1632397.75,28.522600173950195,23.45928192138672,258.0,1.0
260.0,4.333333333333333,202185179136.0,239643312128.0,91330224128.0,91332884395.875,0.0,9133230584.200888,1000000.0,1000000.0,3343.3125,3313.0,1665408.0,1627720.75,1639963.75,28.436824798583984,24.102195739746094,264.0,1.0
265.0,4.416666666666667,202178019328.0,238068400128.0,92763160576.0,92766019187.75,0.0,9276543155.992552,1000000.0,1000000.0,3352.875,3322.3125,1671691.5,1634992.75,1645759.125,28.350845336914062,24.746999740600586,270.0,1.0
270.0,4.5,202170925056.0,236503597056.0,94186700800.0,94189734788.25,0.0,9418913813.979862,1000000.0,1000000.0,3357.6875,3327.25,1676394.5,1638435.25,1648459.5,28.26465606689453,25.070180892944336,273.0,1.0
275.0,4.583333333333333,202163896320.0,234948771840.0,95600861184.0,95604091609.375,0.0,9560348600.266996,1000000.0,1000000.0,3366.0,3336.0,1681481.375,1644811.0,1654508.5,28.17888832092285,25.717742919921875,279.0,1.0
280.0,4.666666666666667,202156818432.0,233403990016.0,97005731840.0,97009149652.0,0.0,9700853514.499065,1000000.0,1000000.0,3374.8125,3344.0,1698881.0,1658184.625,1668222.875,28.093124389648438,26.366865158081055,285.0,1.0
285.0,4.75,202149806080.0,231869186048.0,98401361920.0,98404968748.5,0.0,9840434539.866255,1000000.0,1000000.0,3377.9375,3347.3125,1712970.75,1665201.25,1675368.75,28.006881713867188,26.692026138305664,288.0,1.0
290.0,4.833333333333333,202142810112.0,230344474624.0,99787808768.0,99791609266.375,0.0,9979097713.287458,1000000.0,1000000.0,3384.9375,3353.8125,1730529.125,1686425.25,1696650.875,27.920989990234375,27.343225479125977,294.0,1.0
295.0,4.916666666666667,202135781376.0,228830052352.0,101165146112.0,101169132275.125,0.0,10116849141.542477,1000000.0,1000000.0,3390.6875,3360.625,1751855.5,1708334.0,1717647.875,27.835065841674805,27.995986938476562,300.0,1.0
300.0,5.0,202128900096.0,227326132224.0,102533423104.0,102537600126.0,0.0,10253695059.254684,1000000.0,1000000.0,3393.9375,3364.375,1761518.125,1722184.5,1729425.5,27.749269485473633,28.322778701782227,303.0,1.0
305.0,5.083333333333333,202121969664.0,225832402944.0,103892688896.0,103897075096.875,0.0,10389641695.055248,1000000.0,1000000.0,3399.5,3368.5625,1779976.125,1731581.25,1743814.5,27.66355323791504,28.97722625732422,309.0,1.0
310.0,5.166666666666667,202115186688.0,224348717056.0,105243017216.0,105247617874.875,0.0,10524695117.498245,1000000.0,1000000.0,3405.0,3373.375,1799906.125,1748375.25,1760454.0,27.577590942382812,29.632883071899414,315.0,1.0
315.0,5.25,202108338176.0,222874877952.0,106584473600.0,106589288266.125,0.0,10658861306.738043,1000000.0,1000000.0,3408.25,3375.9375,1809151.125,1757869.25,1768837.625,27.493192672729492,29.961088180541992,318.0,1.0
320.0,5.333333333333333,202101571584.0,221410820096.0,107917090816.0,107922145057.125,0.0,10792146141.727478,1000000.0,1000000.0,3413.0625,3380.625,1821749.0,1773346.25,1785681.0,27.407678604125977,30.618257522583008,324.0,1.0
325.0,5.416666666666667,202094723072.0,219956363264.0,109240950784.0,109246246321.25,0.0,10924555429.298998,1000000.0,1000000.0,3418.4375,3385.125,1833185.25,1785376.25,1798495.125,27.323627471923828,31.27635383605957,330.0,1.0
330.0,5.5,202088038400.0,218511294464.0,110556110848.0,110561648982.125,0.0,11056094862.241974,1000000.0,1000000.0,3421.0,3386.8125,1841671.0,1790144.0,1803472.25,27.23927879333496,31.605730056762695,333.0,1.0
335.0,5.583333333333333,202081222656.0,217075695616.0,111862628352.0,111868409672.125,0.0,11186770103.867126,1000000.0,1000000.0,3425.9375,3392.0625,1860979.375,1803654.25,1816248.0,27.15450668334961,32.265106201171875,339.0,1.0
340.0,5.666666666666667,202074505216.0,215649304576.0,113160536064.0,113166584495.375,0.0,11316586763.972744,1000000.0,1000000.0,3430.875,3395.375,1873292.875,1822470.0,1836426.875,27.070131301879883,32.92548751831055,345.0,1.0
345.0,5.75,202067722240.0,214232252416.0,114449915904.0,114456228892.25,0.0,11445550386.740189,1000000.0,1000000.0,3433.375,3397.1875,1883898.5,1824234.25,1841102.125,26.985580444335938,33.256019592285156,348.0,1.0
350.0,5.833333333333333,202061053952.0,212824276992.0,115730841600.0,115737398160.5,0.0,11573666502.25032,1000000.0,1000000.0,3437.9375,3401.6875,1902872.5,1843236.25,1859277.75,26.901302337646484,33.91765213012695,354.0,1.0
355.0,5.916666666666667,202054434816.0,211425542144.0,117003304960.0,117010147350.5,0.0,11700940615.601925,1000000.0,1000000.0,3443.5,3405.875,1923924.25,1861189.75,1879499.0,26.817337036132812,34.580379486083984,360.0,1.0
360.0,6.0,202047602688.0,210035785728.0,118267428864.0,118274530937.25,0.0,11827378173.382862,1000000.0,1000000.0,3446.0625,3408.125,1931517.0,1866666.25,1885183.25,26.732961654663086,34.912147521972656,363.0,1.0
365.0,6.083333333333333,202040901632.0,208655024128.0,119523205120.0,119530603151.375,0.0,11952984599.153772,1000000.0,1000000.0,3450.9375,3412.9375,1965090.25,1890794.625,1909322.125,26.648773193359375,35.57650375366211,369.0,1.0
370.0,6.166666666666667,202034282496.0,207283273728.0,120770740224.0,120778417760.75,0.0,12077765269.764244,1000000.0,1000000.0,3455.0625,3417.9375,1990369.0,1919622.25,1935388.5,26.56453514099121,36.241790771484375,375.0,1.0
375.0,6.25,202027712512.0,205920567296.0,122010050560.0,122018028943.0,0.0,12201725603.50705,1000000.0,1000000.0,3457.25,3421.375,1997128.0,1938819.375,1954845.875,26.480772018432617,36.574886322021484,378.0,1.0
380.0,6.333333333333333,202021093376.0,204566839296.0,123241242624.0,123249490819.5,0.0,12324871011.665304,1000000.0,1000000.0,3461.375,3425.125,2017631.0,1953759.0,1973831.25,26.396968841552734,37.24176025390625,384.0,1.0
385.0,6.416666666666667,202014507008.0,203222220800.0,124464316416.0,124472857604.625,0.0,12447206915.175076,1000000.0,1000000.0,3466.25,3429.1875,2035684.25,1975148.625,1995136.5,26.31310272216797,37.90951156616211,390.0,1.0
390.0,6.5,202008002560.0,201886695424.0,125679378432.0,125688183857.625,0.0,12568738770.442215,1000000.0,1000000.0,3468.875,3431.625,2046262.25,1985789.375,2003631.25,26.22945213317871,38.243736267089844,393.0,1.0
395.0,6.583333333333333,202001399808.0,200560132096.0,126886395904.0,126895523933.875,0.0,12689472013.537369,1000000.0,1000000.0,3473.625,3435.625,2064292.0,2004068.375,2020374.625,26.146053314208984,38.91284942626953,399.0,1.0
400.0,6.666666666666667,201994846208.0,199242416128.0,128085524480.0,128094931070.125,0.0,12809411967.529253,1000000.0,1000000.0,3478.1875,3440.375,2080071.75,2016508.75,2035331.625,26.062395095825195,39.58292770385742,405.0,1.0
405.0,6.75,201988521984.0,197933580288.0,129276715008.0,129286458667.0,0.0,12928563972.200092,1000000.0,1000000.0,3480.4375,3442.8125,2085951.75,2030371.5,2045808.0,25.97905921936035,39.9183235168457,408.0,1.0
410.0,6.833333333333333,201982214144.0,196633411584.0,130460131328.0,130470159129.0,0.0,13046933268.511934,1000000.0,1000000.0,3485.3125,3446.875,2105504.0,2041440.5,2058450.25,25.895891189575195,40.58975601196289,414.0,1.0
415.0,6.916666666666667,201975971840.0,195341975552.0,131635765248.0,131646084815.875,0.0,13164525092.633724,1000000.0,1000000.0,3490.0625,3450.875,2127560.0,2056534.0,2075595.875,25.812644958496094,41.26216506958008,420.0,1.0
420.0,7.0,201969844224.0,194058960896.0,132803731456.0,132814287294.25,0.0,13281344601.341259,1000000.0,1000000.0,3492.375,3453.3125,2132920.5,2067161.125,2085533.0,25.731040954589844,41.59866714477539,423.0,1.0
425.0,7.083333333333333,201963651072.0,192784384000.0,133963997184.0,133974816993.75,0.0,13397396836.499617,1000000.0,1000000.0,3496.375,3457.125,2145786.25,2085814.375,2102945.75,25.64910125732422,42.2723388671875,429.0,1.0
430.0,7.166666666666667,201957687296.0,191518162944.0,135116644352.0,135127724294.5,0.0,13512686836.213541,1000000.0,1000000.0,3501.375,3461.0625,2159144.0,2095650.5,2115052.5,25.567296981811523,42.94683837890625,435.0,1.0
