time_min,time_hr,vol_base_geom_m3,mass_base_kg,mass_top_kg,cum_entrained_kg,cum_stripped_kg,cum_base_loss_kg,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,max_flow_speed_mps,mean_exposure_min,max_exposure_min,max_Pdeath
0.0,0.0,267048370176.0,439984979968.0,2702756608.0,2702757123.25,0.0,270274000.0735616,1000000.0,420.0,583.0625,580.3125,143181.359375,143089.9375,143070.28125,16.072599411010742,0.056002870202064514,3.0,1.0
5.0,0.08333333333333333,265823191040.0,433849630720.0,5322440192.0,5322444636.75,0.0,532241091.2723069,1000000.0,420.0,1214.4375,1209.6875,172849.25,172472.4375,172277.890625,29.233154296875,0.26182928681373596,9.0,1.0
10.0,0.16666666666666666,265240248320.0,429786071040.0,7912792064.0,7912808303.5,0.0,791275816.693376,1000000.0,1000000.0,1628.0,1622.5625,231860.65625,230364.90625,229880.40625,32.68729782104492,0.5560207962989807,15.0,1.0
15.0,0.25,264899592192.0,426428399616.0,10481222656.0,10481262997.25,0.0,1048119658.1838294,1000000.0,1000000.0,1785.0625,1778.375,270487.625,267322.375,266450.6875,34.0988883972168,0.7272118330001831,18.0,1.0
20.0,0.3333333333333333,264675213312.0,423311310848.0,13030361088.0,13030416816.25,0.0,1303033424.6159804,1000000.0,1000000.0,2060.25,2052.875,353906.8125,349895.46875,348743.84375,34.22417068481445,1.109804391860962,24.0,1.0
25.0,0.4166666666666667,264513650688.0,420304945152.0,15561171968.0,15561235415.0,0.0,1556113680.8614528,1000000.0,1000000.0,2272.5,2262.6875,423120.375,418717.5,417209.90625,34.34461212158203,1.5361428260803223,30.0,1.0
30.0,0.5,264391720960.0,417366343680.0,18074159104.0,18074226464.5,0.0,1807411195.0101333,1000000.0,1000000.0,2362.8125,2353.0,453020.84375,446586.65625,445118.65625,34.434818267822266,1.7628940343856812,33.0,1.0
35.0,0.5833333333333334,264297725952.0,414481809408.0,20569673728.0,20569757074.75,0.0,2056962674.9700325,1000000.0,1000000.0,2520.0625,2509.6875,507866.96875,501124.375,500015.21875,34.512413024902344,2.2393670082092285,39.0,1.0
40.0,0.6666666666666666,264222441472.0,411636006912.0,23047985152.0,23048100310.5,0.0,2304795428.8955817,1000000.0,1000000.0,2650.875,2639.4375,576722.375,567420.8125,565698.75,34.567596435546875,2.7418975830078125,45.0,1.0
45.0,0.75,264159805440.0,408827133952.0,25509316608.0,25509480111.25,0.0,2550931850.0982294,1000000.0,1000000.0,2709.3125,2695.9375,626273.75,614358.3125,612445.625,34.609344482421875,3.0018064975738525,48.0,1.0
50.0,0.8333333333333334,264106098688.0,406051487744.0,27953891328.0,27954107931.25,0.0,2795393084.23249,1000000.0,1000000.0,2796.4375,2784.0,749222.375,730819.25,729070.5,34.63111114501953,3.5348267555236816,54.0,1.0
55.0,0.9166666666666666,264059092992.0,403307659264.0,30381903872.0,30382178164.0,0.0,3038198568.9307957,1000000.0,1000000.0,2866.25,2853.0,899268.375,879653.25,877348.1875,34.656089782714844,4.082126140594482,60.0,1.0
60.0,1.0,264016805888.0,400594534400.0,32793571328.0,32793876604.0,0.0,3279366885.793271,1000000.0,1000000.0,2894.1875,2880.375,983326.75,965385.625,960031.375,33.94172286987305,4.359902858734131,63.0,1.0
65.0,1.0833333333333333,263978975232.0,397909721088.0,35189075968.0,35189385224.0,0.0,3518916230.259221,1000000.0,1000000.0,2944.1875,2930.4375,1151465.375,1131001.875,1126747.625,33.96775817871094,4.92285680770874,69.0,1.0
70.0,1.1666666666666667,263944470528.0,395248992256.0,37568552960.0,37568856931.5,0.0,3756861893.8813114,1000000.0,1000000.0,2985.5,2969.9375,1285394.75,1260456.25,1260256.625,33.98653793334961,5.49399995803833,75.0,1.0
75.0,1.25,263912816640.0,392613167104.0,39932149760.0,39932438637.75,0.0,3993218566.737759,1000000.0,1000000.0,3004.9375,2990.5,1339749.25,1321050.875,1317701.375,34.001953125,5.7824788093566895,78.0,1.0
80.0,1.3333333333333333,263883685888.0,390001590272.0,42280005632.0,42280278800.5,0.0,4228001095.768518,1000000.0,1000000.0,3043.5,3027.3125,1443654.25,1416647.5,1413833.375,34.015628814697266,6.364999771118164,84.0,1.0
85.0,1.4166666666666667,263856685056.0,387413180416.0,44612263936.0,44612519158.0,0.0,4461223653.831576,1000000.0,1000000.0,3081.5,3064.5,1514808.625,1493564.5,1492622.25,34.02804946899414,6.954944133758545,90.0,1.0
90.0,1.5,263831535616.0,384847806464.0,46929047552.0,46929299373.5,0.0,4692900206.685384,1000000.0,1000000.0,3098.625,3080.9375,1547350.75,1522786.75,1521462.5,34.038394927978516,7.252497673034668,93.0,1.0
95.0,1.5833333333333333,263807811584.0,382302453760.0,49230495744.0,49230747745.5,0.0,4923043586.173566,1000000.0,1000000.0,3131.875,3114.5,1597500.75,1576076.0,1575207.75,34.0477180480957,7.852419853210449,99.0,1.0
100.0,1.6666666666666667,263785349120.0,379776860160.0,51516719104.0,51516983325.5,0.0,5151665696.090595,1000000.0,1000000.0,3163.4375,3144.375,1645701.5,1621457.25,1619450.5,34.055335998535156,8.458610534667969,105.0,1.0
105.0,1.75,263763836928.0,377271091200.0,53787860992.0,53788124949.0,0.0,5378778419.721667,1000000.0,1000000.0,3177.1875,3159.625,1666590.0,1642942.125,1642578.0,34.06167221069336,8.76379108428955,108.0,1.0
110.0,1.8333333333333333,263743373312.0,374784262144.0,56044015616.0,56044288932.75,0.0,5604393388.775834,1000000.0,1000000.0,3204.9375,3186.25,1702698.75,1682235.75,1682882.75,34.066993713378906,9.378177642822266,114.0,1.0
115.0,1.9166666666666667,263723663360.0,372316635136.0,58285309952.0,58285589464.5,0.0,5828522022.409762,1000000.0,1000000.0,3226.875,3209.75,1741498.0,1716659.0,1716564.75,34.071014404296875,9.997044563293457,120.0,1.0
120.0,2.0,263704412160.0,369868275712.0,60511846400.0,60512141687.5,0.0,6051175834.186122,1000000.0,1000000.0,3239.1875,3220.6875,1758471.0,1734535.5,1734974.5,34.01604080200195,10.30808162689209,123.0,1.0
125.0,2.0833333333333335,263685619712.0,367439609856.0,62723756032.0,62724063166.25,0.0,6272366580.934209,1000000.0,1000000.0,3259.75,3240.625,1786355.375,1760761.375,1763270.25,33.938819885253906,10.933157920837402,129.0,1.0
