time_min,time_hr,vol_base_geom_m3,mass_base_kg,mass_top_kg,cum_entrained_kg,cum_stripped_kg,cum_base_loss_kg,max_ppm_z,p95_ppm_z,area_danger_km2,area_lethal_km2,pop_danger,pop_lethal,expected_fatalities,max_flow_speed_mps,mean_exposure_min,max_exposure_min,max_Pdeath
0.0,0.0,2983836928.0,5381680128.0,92198816.0,97869190.53125,5670365.78125,3262246.5368664004,1000000.0,420.0,90.375,88.8125,24663.27734375,23916.875,23738.373046875,24.019397735595703,0.008739606477320194,3.0,1.0
5.0,0.08333333333333333,2980852992.0,5282622464.0,172192128.0,193845556.6171875,21653981.78125,6461400.083907062,1000000.0,420.0,162.25,159.125,19353.09375,18444.701171875,18352.14453125,24.205984115600586,0.03686666116118431,9.0,1.0
10.0,0.16666666666666666,2979355136.0,5185397760.0,241476016.0,288055980.890625,46581037.78125,9601689.98275799,1000000.0,420.0,223.125,217.0625,20278.158203125,16878.3359375,16865.494140625,24.263582229614258,0.07735837996006012,15.0,1.0
15.0,0.25,2978399488.0,5089926656.0,301291360.0,380532147.6640625,79241165.78125,12684172.365166036,1000000.0,420.0,251.5,244.8125,22136.8203125,17437.43359375,17200.248046875,24.757633209228516,0.10181252658367157,18.0,1.0
20.0,0.3333333333333333,2977699584.0,4996195840.0,352738432.0,471305500.9296875,118566125.78125,15709895.33448967,1000000.0,420.0,303.1875,294.375,26324.26171875,19264.58984375,19037.98046875,25.8297061920166,0.15852126479148865,24.0,1.0
25.0,0.4166666666666667,2977147648.0,4904175616.0,396793376.0,560407128.6953125,163612461.78125,18679895.132720318,1000000.0,420.0,349.75,337.125,28380.5546875,18483.4921875,19100.087890625,25.859619140625,0.22474128007888794,30.0,1.0
30.0,0.5,2976689664.0,4813843456.0,434320416.0,647867609.609375,213545645.78125,21595191.05233298,1000000.0,420.0,371.25,356.6875,29081.37890625,16704.93359375,18250.2578125,26.00011444091797,0.2610815465450287,33.0,1.0
35.0,0.5833333333333334,2976299520.0,4725172736.0,466085920.0,733717098.7109375,267629709.78125,24456788.22105419,1000000.0,420.0,409.875,391.1875,27005.44140625,13332.27734375,15084.5244140625,25.915084838867188,0.33973798155784607,39.0,1.0
40.0,0.6666666666666666,2975959808.0,4638131712.0,492769088.0,817985221.828125,325215245.78125,27265674.15351354,1000000.0,420.0,443.5,425.1875,20856.5234375,11369.96484375,12196.349609375,25.785831451416016,0.42559072375297546,45.0,1.0
45.0,0.75,2975661056.0,4552695296.0,514971936.0,900701037.5546875,385728173.78125,30022817.461542282,1000000.0,420.0,459.125,440.5,18164.875,10313.376953125,11334.7041015625,25.636428833007812,0.47092780470848083,48.0,1.0
